"Добувна промисловість і розроблення кар'єрів 
Mining and quarrying",,,,,,,,,,
Вугілля кам’яне,Coal of hard,млн.т / mln.t,62.7,65.7,64.4,45.9,30.2,31.6,24.2,26.3
"Нафта сира, у тому числі нафта, одержана з мінералів бітумінозних","Crude oil, including oil reseived from bituminous minerals ",млн.т / mln.t,2.4,2.3,2.2,2.0,1.8,1.6,1.5,1.6
"Газовий конденсат природний, одержаний з родовищ газу природного","Gas condensate natural, supplied from natural gas field",млн.т / mln.t,0.9,1.1,0.9,0.7,0.7,0.6,0.7,0.7
Газ природний скраплений або в газоподібному стані,"Natural gas, liquified or gaseous",млрд.м³ / bln.m³,20.7,20.5,21.3,20.1,19.9,20.0,20.5,20.8
Руди залізні неагломеровані,Non-agglomerated iron ores,млн.т / mln.t,173.0,176.0,185.0,184.0,175.0,168.0,166.0,161.0
Концентрати залізорудні неагломеровані,Non-agglomerated iron concentrates,млн.т / mln.t,66.5,67.1,70.4,68.3,66.9,62.9,60.6,60.5
Концентрати залізорудні агломеровані,Agglomerated iron concentrates,млн.т / mln.t,64.4,64.6,67.6,60.2,55.2,56.7,50.8,53.1
Гіпс і ангідрит,Gypsum and anhydrite,млн.т / mln.t,2.3,2.2,2.2,1.6,1.3,1.3,1.5,1.4
"Вапняк, флюс вапняковий та інший вапняковий камінь для виготовлення вапна й цементу (крім подрібненого вапнякового наповнювача та каменю вапнякового заданих розмірів)","Limestone flux, limestone and other calcareous stone used for the manufacture of lime or cement (excluding crushed limestone aggregate and calcareous dimension stone)",млн.т / mln.t,22.8,20.6,18.7,11.6,7.6,7.7,6.6,6.1
Крейда,Chalk,тис.т / thsd.t,1941.0,391.0,288.0,218.0,119.0,154.0,148.0,237.0
